Date : 2026-03-15 20:40:07
Directory : e:\qt_project\screenCapture
Total : 114 files,  17137 codes, 656 comments, 2984 blanks, all 20777 lines

Languages
+----------+------------+------------+------------+------------+------------+
| language | files      | code       | comment    | blank      | total      |
+----------+------------+------------+------------+------------+------------+
| C++      |         77 |     15,969 |        656 |      2,588 |     19,213 |
| Markdown |         12 |        875 |          0 |        366 |      1,241 |
| CMake    |          4 |        197 |          0 |         21 |        218 |
| XML      |         21 |         96 |          0 |          9 |        105 |
+----------+------------+------------+------------+------------+------------+

Directories
+----------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                                       | files      | code       | comment    | blank      | total      |
+----------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                                          |        114 |     17,137 |        656 |      2,984 |     20,777 |
| . (Files)                                                                                                                  |         62 |     11,799 |        353 |      2,178 |     14,330 |
| .codex_cmake_check_mingw                                                                                                   |         21 |      4,527 |        303 |        506 |      5,336 |
| .codex_cmake_check_mingw\.qt                                                                                               |          3 |         64 |          0 |          7 |         71 |
| .codex_cmake_check_mingw\.rcc                                                                                              |          1 |      1,219 |         81 |         23 |      1,323 |
| .codex_cmake_check_mingw\screenCapture_autogen                                                                             |         17 |      3,244 |        222 |        476 |      3,942 |
| .codex_cmake_check_mingw\screenCapture_autogen (Files)                                                                     |          2 |        495 |          1 |          2 |        498 |
| .codex_cmake_check_mingw\screenCapture_autogen\EWIEGA46WW                                                                  |         10 |      1,902 |        186 |        207 |      2,295 |
| .codex_cmake_check_mingw\screenCapture_autogen\include                                                                     |          5 |        847 |         35 |        267 |      1,149 |
| doc                                                                                                                        |         10 |        715 |          0 |        291 |      1,006 |
| icons                                                                                                                      |         21 |         96 |          0 |          9 |        105 |
+----------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+----------------------------------------------------------------------------------------------------------------------------+----------+------------+------------+------------+------------+
| filename                                                                                                                   | language | code       | comment    | blank      | total      |
+----------------------------------------------------------------------------------------------------------------------------+----------+------------+------------+------------+------------+
| e:\qt_project\screenCapture\.codex_cmake_check_mingw\.qt\QtDeploySupport.cmake                                             | CMake    |         56 |          0 |          5 |         61 |
| e:\qt_project\screenCapture\.codex_cmake_check_mingw\.qt\deploy_screenCapture_3f26f682e3.cmake                             | CMake    |          7 |          0 |          2 |          9 |
| e:\qt_project\screenCapture\.codex_cmake_check_mingw\.qt\screenCapture-plugins.cmake                                       | CMake    |          1 |          0 |          0 |          1 |
| e:\qt_project\screenCapture\.codex_cmake_check_mingw\.rcc\qrc_app_resources.cpp                                            | C++      |      1,219 |         81 |         23 |      1,323 |
| e:\qt_project\screenCapture\.codex_cmake_check_mingw\screenCapture_autogen\EWIEGA46WW\moc_aboutdialog.cpp                  | C++      |        117 |         12 |         19 |        148 |
| e:\qt_project\screenCapture\.codex_cmake_check_mingw\screenCapture_autogen\EWIEGA46WW\moc_capturesettingsdialog.cpp        | C++      |        133 |         14 |         19 |        166 |
| e:\qt_project\screenCapture\.codex_cmake_check_mingw\screenCapture_autogen\EWIEGA46WW\moc_closedialog.cpp                  | C++      |        133 |         14 |         19 |        166 |
| e:\qt_project\screenCapture\.codex_cmake_check_mingw\screenCapture_autogen\EWIEGA46WW\moc_draggablehistorythumbbutton.cpp  | C++      |        135 |         13 |         20 |        168 |
| e:\qt_project\screenCapture\.codex_cmake_check_mingw\screenCapture_autogen\EWIEGA46WW\moc_globalhotkeymanager.cpp          | C++      |        130 |         13 |         20 |        163 |
| e:\qt_project\screenCapture\.codex_cmake_check_mingw\screenCapture_autogen\EWIEGA46WW\moc_longcapturesessioncontroller.cpp | C++      |        317 |         30 |         29 |        376 |
| e:\qt_project\screenCapture\.codex_cmake_check_mingw\screenCapture_autogen\EWIEGA46WW\moc_mainwindow.cpp                   | C++      |        442 |         43 |         19 |        504 |
| e:\qt_project\screenCapture\.codex_cmake_check_mingw\screenCapture_autogen\EWIEGA46WW\moc_pinnedimagewindow.cpp            | C++      |         90 |          9 |         17 |        116 |
| e:\qt_project\screenCapture\.codex_cmake_check_mingw\screenCapture_autogen\EWIEGA46WW\moc_selectionoverlay.cpp             | C++      |        315 |         29 |         28 |        372 |
| e:\qt_project\screenCapture\.codex_cmake_check_mingw\screenCapture_autogen\EWIEGA46WW\moc_showtip.cpp                      | C++      |         90 |          9 |         17 |        116 |
| e:\qt_project\screenCapture\.codex_cmake_check_mingw\screenCapture_autogen\include\ui_aboutdialog.h                        | C++      |        136 |          7 |         43 |        186 |
| e:\qt_project\screenCapture\.codex_cmake_check_mingw\screenCapture_autogen\include\ui_capturesettingsdialog.h              | C++      |        245 |          7 |         77 |        329 |
